Gene names	Transcript names
RGD1561778	NM_001168284
Ten1	NM_001108307
Evpl	NM_001107066
Srp68	NM_001108840
Galr2	NM_019172_1
Exoc7	NM_022691
Galr2	NM_019172
Exoc7	NM_022691_1
Foxj1	NM_053832
Prpsap1	NM_022545
Sphk1	NM_001270807
Sphk1	NM_001270808
Sphk1	NM_001270809
Sphk1	NM_001270810
Sphk1	NM_001270811
Sphk1	NM_133386
Aanat	NM_012818
Rhbdf2	NM_001107067
Rhbdf2	NM_001270834
Cygb	NM_130744
St6galnac2	NM_001031652
St6galnac1	NM_001105859
Jmjd6	NM_001012143
Mettl23	NM_001008283
Srsf2	NM_001009720
Mfsd11	NM_001108308
Mgat5b	NM_001107068
Sec14l1	NM_001108309
Sept9	NM_176856
Sept9	NM_031837
Sept9	NM_001113497
Tmc8	NM_001126301
Syngr2	NM_053553
Tk1	NM_052800
Afmid	NM_001111366
Birc5	NM_022274
Socs3	NM_053565
Cyth1	NM_053910
Usp36	NM_001107069
Timp2	NM_021989
Cep295nl	NM_001017481
Lgals3bp	NM_139096
Cant1	NM_144754
C1qtnf1	NM_001007675
Engase	NM_001107070
Rbfox3	NM_001134498
Ccdc40	NM_001134688
Enpp7	NM_001012466
Cbx2	NM_001107071
Cbx8	NM_001034078
Gaa	NM_199118
Eif4a3	NM_001100158
Nptx1	NM_153735
Rptor	NM_001134499
Chmp6	NM_001105856
Baiap2	NM_057196
Aatk	NM_001168703
	NR_037349
	NR_031783
Cep131	NM_001108310
	NR_037395
	NR_037344
Enthd2	NM_001100729
LOC690871	NM_001195482
Actg1	NM_001127449
Fscn2	NM_001107072
Nploc4	NM_080577
Oxld1	NM_001305985
Ccdc137	NM_001143896
Hgs	NM_019387
Mrpl12	NM_001029900
Slc25a10	NM_133418
	NR_073147
Gcgr	NM_172092
Gcgr	NM_172091
Fam195b	NM_001108311
Ppp1r27	NM_001105858
P4hb	NM_012998
Arhgdia	NM_001007005
Alyref	NM_001109602
Anapc11	NM_001126082
Npb	NM_153293
Pcyt2	NM_053568
Sirt7	NM_001107073
Mafg	NM_022386
Pycr1	NM_001105857
Myadml2	NM_001128185
Notum	NM_001013975
Lrrc45	NM_001127571
Dcxr	NM_134387
Rfng	NM_021849
Gps1	NM_001270939
Gps1	NM_053969
Dus1l	NM_172018
Fasn	NM_017332
Slc16a3	NM_030834
Csnk1d	NM_139060
Cd7	NM_001107074
Sectm1b	NM_199082
Sectm1a	NM_001013043
Tex19.2	NM_001109622
Tex19.1	NM_001017482
Uts2r	NM_020537
Ogfod3	NM_001013976
Hexdc	NM_001142562
LOC619574	NM_001034959
Narf	NM_001039207
Foxk2	NM_001107075
Wdr45b	NM_001039587
Rab40b	NM_001107076
Fn3krp	NM_001107077
Fn3k	NM_001109051
Tbcd	NM_001271364
B3gntl1	NM_001015035
Metrnl	NM_001014104
Vom2r65	NM_001099654
Vom2r4	NM_001099458
Vom2r1	NM_001099461
Olr1475	NM_001000027_1
Epha3	NM_031564
MGC95208	NM_001005552
Cggbp1	NM_001105900
Htr1f	NM_021857
Pou1f1	NM_013008
Cadm2	NM_001047102
Gbe1	NM_001100502
Robo1	NM_022188
Robo2	NM_032106
Hspa8	NM_024351
Lipi	NM_001105899
Rbm11	NM_001105898
Hspa13	NM_019271
Samsn1	NM_130821
Nrip1	NM_001100560
Usp25	NM_001107114
	NR_031856
	NR_031803
	NR_037386
	NR_031870
Cxadr	NM_053570
Btg3	NM_019290
RGD1563888	NM_001108312
Chodl	NM_001105894
Tmprss15	NM_001105895
Ncam2	NM_203409
Olr901	NM_001000057
Olr922	NM_001000705
	NR_132107
	NR_106710
Jam2	NM_001034004
Atp5j	NM_053602
Gabpa	NM_001108841
App	NM_019288
Cyyr1	NM_001013980
Adamts1	NM_024400
Adamts5	NM_198761
N6amt1	NM_001191592
Ltn1	NM_001024235
Rwdd2b	NM_001100559
Usp16	NM_001100501
Cct8	NM_001105897
Map3k7cl	NM_001013979
Bach1	NM_001107113
Grik1	NM_001111117
Grik1	NM_001111114
Grik1	NM_017241
Cldn17	NM_001107112
Cldn8	NM_001037774
Krtap13-2	NM_001109325
Krtap14	NM_001109326
Krtap15-1	NM_001105896
Krtap19-5	NM_001195612
Krtap16-5	NM_001109424
Krtap7-1	NM_001145002
Tiam1	NM_001100558
Sod1	NM_017050
Scaf4	NM_001037347
Hunk	NM_001191662
Mis18a	NM_001127523
Mrap	NM_001135834
Urb1	NM_001191661
RGD1306954	NM_001008288
Synj1	NM_053476
RGD1562726	NM_001109052
Olig2	NM_001100557
Olig1	NM_021770
Il10rb	NM_001107111
Ifnar1	NM_001271316
Ifnar1	NM_001105893
Ifngr2	NM_001108313
Tmem50b	NM_001025014
Dnajc28	NM_001014124
Gart	NM_001011899
Son	NM_001170327
Son	NM_001170328
Donson	NM_001008287
Cryzl1	NM_001013044
Itsn1	NM_001136096
Itsn1	NM_019227
Atp5o	NM_138883
Slc5a3	NM_053715
Kcne2	NM_133603
Smim11	NM_001131000
LOC498063	NM_001017483
Kcne1	NM_012973
Rcan1	NM_153724
Clic6	NM_176078
Runx1	NM_017325
	NR_032753
RGD1562683	NM_001108314
Setd4	NM_001113747
Cbr1	NM_019170
Cbr1	NM_019170_1
Cbr1	NM_019170_2
Cbr3	NM_001107110
Dopey2	NM_001191660
Morc3	NM_001107109
Chaf1b	NM_001024741
Cldn14	NM_001013429
Sim2	NM_001107108
Ripply3	NM_001105892
Pigp	NM_001099758
Ttc3	NM_001108315
Dscr3	NM_001108316
Dyrk1a	NM_012791
Kcnj6	NM_013192
Kcnj15	NM_133321
Erg	NM_133397
Ets2	NM_001107107
Psmg1	NM_001105891
	NR_106696
Hmgn1	NM_001013184
Wrb	NM_199373
Lca5l	NM_001017484
Sh3bgr	NM_001127682
B3galt5	NM_001105887
	NR_106697
Igsf5	NM_001006990
Pcp4	NM_001270538
Pcp4	NM_013002
Dscam	NM_133587
Bace2	NM_001002802
Mx1	NM_001271060
Mx1	NM_001271058
Mx1	NM_001271062
Mx1	NM_173096
Mx1	NM_001271061
Mx1	NM_001271059
Fam3b	NM_001107102
Mx2	NM_134350
Tmprss2	NM_130424
Ripk4	NM_001107103
C2cd2	NM_199391
Zfp295	NM_001107105
Hmgn1	NM_001013184_1
Arl6	NM_001108842
Mina	NM_153309
Gabrr3	NM_138897
Olr1528	NM_001001099
Olr1529	NM_001001100
Olr1530	NM_001001101
Olr1531	NM_001001102
Olr1532	NM_001001103
Olr1538	NM_001000530
Olr1539	NM_001000729
Olr1537	NM_001001352
Olr1540	NM_001001383
Olr1541	NM_001000728
Olr1542	NM_001000531
Olr1543	NM_001001104
Olr1545	NM_001001105
Olr1546	NM_001001106
Olr1547	NM_001001107
Olr1548	NM_001001108
Olr1549	NM_001000052
Olr1551	NM_001000727
Olr1553	NM_001000051
Olr1555	NM_001000726
Olr1557	NM_001000050
Olr1558	NM_001000725
Olr1559	NM_001000049
Olr1560	NM_001001009
Olr1560	NM_001001009_1
Olr1562	NM_001000047
Olr1563	NM_001000046
Olr1564	NM_001000045
Olr1561	NM_001000048
Cldnd1	NM_001006955
Gpr15	NM_001105890
Cpox	NM_001037095
St3gal6	NM_207602
Dcbld2	NM_130419
Col8a1	NM_001107100
Cmss1	NM_001013866
Tmem30c	NM_001105889
Nit2	NM_001034126
Tomm70a	NM_212519
Olr1533	NM_001000496
Olr1535	NM_001000945
Olr1536	NM_001001353
Tmem45a	NM_001191074
Adgrg7	NM_001107098
Tfg	NM_001012144
Impg2	NM_139088
Tmem45a	NM_001191074_1
Adgrg7	NM_001107098_1
Senp7	NM_001105888
Trmt10c	NM_001008337
Pcnp	NM_001047846
Zbtb11	NM_001107097
Rpl24	NM_022515
Cep97	NM_001107096
Nxpe3	NM_001109435
Nfkbiz	NM_001107095
Alcam	NM_031753
Cblb	NM_133601
Bbx	NM_001079938
Cd47	NM_019195
Ift57	NM_001107093
Retnlg	NM_181625
Retnla	NM_053333
Retnlb	NM_001024281
Trat1	NM_001037981
Morc1	NM_001172090
Olr1451	NM_001000957
Olr1453	NM_001000772
Olr1455	NM_001000771
Cd96	NM_001025032
Plcxd2	NM_001134481
Abhd10	NM_001123352
Tagln3	NM_001035236
Tagln3	NM_031676
Pvrl3	NM_001105883
Gap43	NM_017195
Lsamp	NM_017242
Abhd10	NM_001123352_1
Tagln3	NM_001035236_1
Tagln3	NM_031676_1
Tmprss7	NM_001105882
Slc9c1	NM_001008762
Cd200	NM_031518
Btla	NM_213630
Atg3	NM_134394
Slc35a5	NM_001191927
Ccdc80	NM_022543
Cd200r1	NM_023953
Gtpbp8	NM_001025015
RGD1311458	NM_001009678
Spice1	NM_001008285
Sidt1	NM_001100653
Naa50	NM_001105881
Naa50	NM_001309804
Atp6v1a	NM_001108318
Gramd1c	NM_001191826
Zdhhc23	NM_213627
Qtrtd1	NM_001305153
Drd3	NM_017140
	NR_032745
Zbtb20	NM_001105880
LOC498084	NM_001047922
Igsf11	NM_001013120
Upk1b	NM_001024253
B4galt4	NM_001012018
Arhgap31	NM_001105879
Tmem39a	NM_001013865
Poglut1	NM_001100652
Timmdc1	NM_001007676
Cd80	NM_012926
Adprh	NM_183325
Pla1a	NM_138882
Popdc2	NM_199113
Cox17	NM_053540
Nr1i2	NM_052980
Gsk3b	NM_032080
Gpr156	NM_153295
Lrrc58	NM_001195558
Fstl1	NM_024369
Ndufb4	NM_001037338
Hgd	NM_001012145
Rabl3	NM_001108319
Gtf2e1	NM_001100556
Stxbp5l	NM_001271250
Polq	NM_001105878
Hcls1	NM_001011898
Golgb1	NM_138885
Iqcb1	NM_001107092
Eaf2	NM_172047
Slc15a2	NM_031672
Ildr1	NM_001127536
Cd86	NM_020081
Casr	NM_016996
Casr	NM_001309638
Stfa3	NM_001105877
Stfa2l1	NM_001004129
Stfa3l1	NM_001009177
Csta	NM_001105876
Ccdc58	NM_001105875
Fam162a	NM_001029903
Wdr5b	NM_001024766
Kpna1	NM_198726
Parp9	NM_001103351
Dtx3l	NM_001109053
Parp14	NM_001191659
Hspbap1	NM_134419
Dirc2	NM_001012017
Sema5b	NM_001107091
Pdia5	NM_001014125
Sec22a	NM_057147
Adcy5	NM_022600
Mylk	NM_001105874
Ropn1	NM_001025628
Kalrn	NM_032062
Umps	NM_001025402
Itgb5	NM_147139
Slc12a8	NM_153625
Zfp148	NM_031615
Snx4	NM_001127550
Osbpl11	NM_001107090
Lmln	NM_001108843
Rpl35a	NM_021264_1
Iqcg	NM_001014230
Fyttd1	NM_001047899
Muc20	NM_001107089
Tnk2	NM_001008336
Tfrc	NM_022712
Zdhhc19	NM_001039259
Slc51a	NM_001107087
Pcyt1a	NM_078622
Tctex1d2	NM_001109054
Tm4sf19	NM_001105873
Ubxn7	NM_001107086
Rnf168	NM_001127597
Wdr53	NM_001109055
Nrros	NM_001024995
Cep19	NM_138865
Pigx	NM_001100651
Pak2	NM_053306_1
Pigz	NM_001109525
	NR_110714
Mfi2	NM_001105872
Dlg1	NM_012788
Bdh1	NM_053995
Apod	NM_012777
Ppp1r2	NM_138823
Pak2	NM_053306
Pigz	NM_001109525_1
Gp5	NM_012795
Acap2	NM_001034006
Fam43a	NM_001039002
Lsg1	NM_001013421
Atp13a3	NM_001109369
Gp5	NM_012795_1
Lrrc15	NM_145083
Cpn2	NM_001107085
Hes1	NM_024360
Opa1	NM_133585
Atp13a4	NM_001191658
Atp13a5	NM_001191657
Hrasls	NM_001105871
Mb21d2	NM_001109056
Fgf12	NM_130814
Ccdc50	NM_182736
Uts2b	NM_198133
Ostn	NM_207612
Il1rap	NM_001167840
Il1rap	NM_012968
Cldn16	NM_131905
Cldn1	NM_031699
P3h2	NM_001025627
Tp63	NM_019221
Tp63	NM_001127343
Tp63	NM_001127339
Tp63	NM_001127342
Tp63	NM_001127344
Tp63	NM_001127341
Tprg1	NM_001108320
Lpp	NM_001013864
	NR_031834
Bcl6	NM_001107084
Rtp2	NM_001107083
Sst	NM_012659
Rtp4	NM_001108321
Masp1	NM_022257
Rtp1	NM_001105870
St6gal1	NM_001113344
St6gal1	NM_147205
Adipoq	NM_144744
Rfc4	NM_001105869
Eif4a2	NM_001008335
Kng1l1	NM_001009628
Kng1	NM_012696
Hrg	NM_133428
Fetub	NM_053348
Fetub	NM_001309522
Ahsg	NM_012898
Dnajb11	NM_001015021
Tbccd1	NM_001012016
Crygs	NM_001109553
Dgkg	NM_013126
Etv5	NM_001107082
Tra2b	NM_057119
Igf2bp2	NM_001270598
Igf2bp2	NM_001270599
Senp2	NM_023989
Liph	NM_001044279
Tmem41a	NM_001100805
Map3k13	NM_001013978
Thpo	NM_031133
Polr2h	NM_001134789
Clcn2	NM_017137
Ehhadh	NM_133606
Ephb3	NM_001105868
Chrd	NM_057134
Thpo	NM_031133_1
Polr2h	NM_001134789_1
Clcn2	NM_017137_1
Psmd2	NM_001031639
Ece2	NM_001002815
Camk2n2	NM_021678
Alg3	NM_001142363
	NR_024535
Vwa5b2	NM_001134535
	NR_032740
Abcf3	NM_001011896
Ap2m1	NM_053837
Dvl3	NM_001107081
Eif2b5	NM_138866
Map6d1	NM_001108844
Yeats2	NM_001109057
Abcc5	NM_053924
Parl	NM_001035249
Klhl24	NM_181473
Klhl6	NM_001105867
	NR_106695
B3gnt5	NM_053932
Lamp3	NM_001012015
Olr1567	NM_001000043
Olr1568	NM_001000532
Olr1565	NM_001000908
Olr1566	NM_001000044
Olr1567	NM_001000043_1
Olr1568	NM_001000532_1
Olr1569	NM_001000042
Olr1570	NM_001000041
Hira	NM_001135760
Mrpl40	NM_001024865
LOC498122	NM_001109058
Ufd1l	NM_053418
Cdc45	NM_001105866
Cldn5	NM_031701
Sept5	NM_053931
Gp1bb	NM_053930
Tbx1	NM_001108322
Txnrd2	NM_022584
Comt	NM_012531
Arvcf	NM_001131013
Tango2	NM_001108323
	NR_031903
Dgcr8	NM_001105865
	NR_106675
Trmt2a	NM_001011895
Ranbp1	NM_001108324
Zdhhc8	NM_001039021
Rtn4r	NM_053613
Prodh	NM_001135778
Dgcr6	NM_001107080
Vpreb2	NM_001134788
Slc25a1	NM_017307
Gsc2	NM_001108846
Dgcr14	NM_001012472
Tssk2	NM_001012019
Tssk1b	NM_001011900
Dgcr2	NM_001012146_1
Car15	NM_001105901
Aifm3	NM_001013977
Lztr1	NM_001108326
Thap7	NM_001105863
P2rx6	NM_012721
Slc7a4	NM_001107078
Smpd4	NM_001167806
Med15	NM_001108325
Klhl22	NM_001107079
Scarf2	NM_001105864
Car15	NM_001105901_1
Crkl	NM_001008284
Snap29	NM_053810
Pi4ka	NM_022301
Serpind1	NM_024382
Hic2	NM_001105862
Ube2l3	NM_001108847
Ydjc	NM_001013863
Ccdc116	NM_001024740
Sdf2l1	NM_001109433
	NR_032270
	NR_031877
RGD1308065	NM_001077666
Ppil2	NM_001017383
Mapk1	NM_053842
Ppm1f	NM_175755
Top3b	NM_001105861
Vpreb1	NM_001108845
Igll1	NM_001190341
Spag6	NM_001034960
Fgd4	NM_139263
Dnm1l	NM_053655
Yars2	NM_001009627
Pkp2	NM_001100499
Cebpd	NM_013154
Spidr	NM_001100988
Mzt2b	NM_001105860
Mcm4	NM_033651
Ube2v2	NM_183052
Efcab1	NM_001106930
Snai2	NM_013035
Brca2	NM_031542
N4bp2l1	NM_001035222
N4bp2l2	NM_001005533
Pds5b	NM_001101805
Pds5b	NM_001102383
Kl	NM_031336
Stard13	NM_001109060
Rfc3	NM_001009629
	NR_033176
Insr	NM_017071
Arhgef18	NM_001107115
Pex11g	NM_001105902
RGD1563425	NM_001109059
Zfp358	NM_001108328
Mcoln1	NM_001105903
Camsap3	NM_001144840
Xab2	NM_139109
Pet100	NM_001195245
Pcp2	NM_001107116
Stxbp2	NM_031126
Retn	NM_144741
Mcemp1	NM_001134602
Trappc5	NM_001108850
Fcer2	NM_001033924
Fcer2	NM_133550
Cd209a	NM_001105904
Cd209e	NM_001192005
Clec4m	NM_001108849
Ccl25	NM_001037203
Elavl1	NM_001108848
Timm44	NM_017267
Ctxn1	NM_001109935
Snapc2	NM_001013121
Map2k7	NM_001025425
Lrrc8e	NM_001034139
Cd209b	NM_001170397
Vom2r59	NM_001099466
Vom2r60	NM_001099480
Cers4	NM_001107117
Vom2r58	NM_001099479
Zfp958	NM_001142758
Fry	NM_001170398
	NR_126568
Rxfp2	NM_001012475
Hsph1	NM_001011901
Tex26	NM_001134603
Alox5ap	NM_017260
Uspl1	NM_001105906
Uspl1	NM_001198555
Rpl35a	NM_021264_2
Katnal1	NM_001006956
Rpl35a	NM_021264_3
Katnal1	NM_001006956_1
Ubl3	NM_001015030
Slc7a1	NM_013111
Mtus2	NM_001100989
Slc46a3	NM_001024968
Pomp	NM_001100942
Pomp	NM_001100942_1
Flt1	NM_001309381
Flt1	NM_019306
Flt3	NM_001100822
Cdx2	NM_023963
Pdx1	NM_022852
Gsx1	NM_001191663
Rpo1-3	NM_001037787
Lnx2	NM_001108329
Mtif3	NM_001115041
Gtf3a	NM_001113570
Rasl11a	NM_001002829
Rpl21	NM_053330
Usp12	NM_001166576
Gpr12	NM_001037295
Gpr12	NM_030831
Cdk8	NM_001109061
Rnf6	NM_001107118
Cyp3a18	NM_145782
Cyp3a2	NM_153312
Cyp3a23/3a1	NM_013105
Zfp655	NM_001008362
Zkscan5	NM_001107119
Zfp394	NM_145724
Atp5j2	NM_001271117
Cpsf4	NM_001012351
Ptcd1	NM_001109665
Bud31	NM_053556
Pdap1	NM_022595
Arpc1b	NM_019289
Arpc1a	NM_031146
Smurf1	NM_001109598
Trrap	NM_001105907
Cyp3a23/3a1	NM_013105_1
Zfp498	NM_001108851
Tmem130	NM_001170399
Nptx2	NM_001034199
Baiap2l1	NM_001034140
Bri3	NM_001009604
Tecpr1	NM_001037191
Bhlha15	NM_012863
Lmtk2	NM_001137641
Ocm2	NM_012995
Ccz1b	NM_001014126
Rsph10b	NM_001013867
Pms2	NM_001105908
Aimp2	NM_001037348
Eif2ak1	NM_013223
Ankrd61	NM_001044297
Usp42	NM_001105909
Cyth3	NM_053912
Fam220a	NM_001017485
Rac1	NM_134366
Daglb	NM_001107120
Kdelr2	NM_001013122
Grid2ip	NM_001105910
Zdhhc4	NM_001013123
Zfp316	NM_001107121
Spdye4	NM_001034153
Rbak	NM_001191664
Rnf216	NM_001107122
Fscn1	NM_001100806
Actb	NM_031144
Tnrc18	NM_001107123
Slc29a4	NM_001105911
Wipi2	NM_001007615
Mmd2	NM_001037217
Radil	NM_001037218
Papolb	NM_001012020
Ap5z1	NM_001037220
Foxk1	NM_001037219
Gna12	NM_031034
Amz1	NM_001047092
Ttyh3	NM_001107124
Lfng	NM_133393
Grifin	NM_057187
Chst12	NM_001037775
Eif3b	NM_001031640
Snx8	NM_001105912
Nudt1	NM_057120
Ftsj2	NM_001107125
Mad1l1	NM_001109387
Elfn1	NM_001105913
Tmem184a	NM_001025413
Mafk	NM_145673
Uncx	NM_017179
LOC498152	NM_001047923
Zfand2a	NM_001008363
LOC498154	NM_001025033
Gper1	NM_133573
Gpr146	NM_001109062
	NR_031784
Cox19	NM_001107126
Adap1	NM_133567
Get4	NM_001163320
Sun1	NM_001007147
Dnaaf5	NM_001134857
Prkar1b	NM_001033679
Pdgfa	NM_012801
LOC498155	NM_001047924
Fam20c	NM_001012238
RGD1566386	NM_001107127
Zfp68	NM_001107128
Zfp68	NM_001142945
MGC112692	NM_001025759
LOC288521	NM_001013868
Zfp157	NM_001170404
Dhrsx	NM_001105914
Asmt	NM_144759
Akap17a	NM_001127246
Asmtl	NM_001105915
Il3ra	NM_139260
Cyp3a62	NM_001024232
Spry3	NM_001109063
Vamp7	NM_053531
Cyp3a9	NM_147206
Azgp1	NM_012826
Zkscan1	NM_001025760
Zscan21	NM_001012021
Cops6	NM_001107129
Mcm7	NM_001004203
	NR_031829
	NR_031853
	NR_031862
Ap4m1	NM_001037977
Taf6	NM_001044225
Cnpy4	NM_001108852
Mblac1	NM_001024996
Lamtor4	NM_001108330
RGD1305455	NM_001024969
Gal3st4	NM_001109064
Gpc2	NM_138511
Stag3	NM_053730
Vom2r61	NM_001099508
Vom2r62	NM_001099509
Vom2r64	NM_001099513
Vom2r63	NM_001099499
LOC685157	NM_001115044
Mepce	NM_001100678
Ppp1r35	NM_001109451
LOC100362783	NM_001271236
Tsc22d4	NM_001044284_1
Cldn3	NM_031700
Mepce	NM_001100678_1
Ppp1r35	NM_001109451_1
LOC100362783	NM_001271236_1
Tsc22d4	NM_001044284
Nyap1	NM_001107132
Agfg2	NM_001107131
Irs3	NM_032074
Lrch4	NM_001127551
Fbxo24	NM_001107130
Pcolce	NM_019237
Mospd3	NM_001025629
Tfr2	NM_001105916
Actl6b	NM_001105917
Gnb2	NM_031037
Gigyf1	NM_001107133
Pop7	NM_001105918
Epo	NM_017001
Slc12a9	NM_134405
Trip6	NM_001127570
Ache	NM_172009
Serpine1	NM_012620
Ap1s1	NM_001108331
Vgf	NM_030997
Plod3	NM_178101
	NR_037384
Znhit1	NM_001271350
Cldn15	NM_001107135
Fis1	NM_001105919
	NR_102359
Ift22	NM_001011902
Col26a1	NM_001271268
Sh2b2	NM_053669
Prkrip1	NM_001098793
Orai2	NM_001170403
Alkbh4	NM_001105920
Lrwd1	NM_001013981
Polr2j	NM_001105921
Upk3bl	NM_001109020
Dtx2	NM_001107157
Zp3	NM_053762
Ywhag	NM_019376
Hspb1	NM_031970
Srrm3	NM_001277394
Mdh2	NM_031151
Styxl1	NM_001037788
Tmem120a	NM_001010945
Por	NM_031576
Rhbdd2	NM_001191827
Ccl24	NM_001013045
Ccl26	NM_001109488
Hip1	NM_001100475
Pom121	NM_053622
Nsun5	NM_001191593
Trim50	NM_181080
Fkbp6	NM_001105922
Fzd9	NM_153305
Baz1b	NM_001191916
Bcl7b	NM_001109021
Mlxipl	NM_133552
Vps37d	NM_001128193
Dnajc30	NM_001109024
Wbscr22	NM_001135743
Stx1a	NM_053788
	NR_026689
Abhd11	NM_001271180
Cldn4	NM_001012022
Wbscr27	NM_001109499
Eln	NM_012722
Limk1	NM_031727
Eif4h	NM_001006957
Lat2	NM_173840
Rfc2	NM_053786
Syna	NM_001014771
Clip2	NM_021997
Gtf2ird1	NM_001001504
Gtf2i	NM_001001512
Ncf1	NM_053734
Gtf2ird2	NM_001271485
Wbscr16	NM_001108332
Gatsl2	NM_001100561
	NR_106694
Wbscr17	NM_001025112
Caln1	NM_001077201
Tyw1	NM_001107137
Sbds	NM_001008289
Tmem248	NM_001004204
Rabgef1	NM_001108333
Kctd7	NM_001128194
Tpst1	NM_001011903
Crcp	NM_053670
Asl	NM_021577
Gusb	NM_017015
Vkorc1l1	NM_203338
Nupr1l	NM_001134570
Zbed5	NM_001105924
Phkg1	NM_031573
Sumf2	NM_001025125
Cct6a	NM_001033684
Psph	NM_001009679
Gbas	NM_001017486
Mrps17	NM_001105923
Sept14	NM_001137670
Mmp17	NM_001105925
Sfswap	NM_001034924
Ran	NM_053439
Stx2	NM_012748
Rimbp2	NM_001100488
Piwil1	NM_001108853
Fzd10	NM_001271192
Tmem132d	NM_198727
Slc15a4	NM_144758
Tmem132b	NM_001134536
Aacs	NM_023104
Bri3bp	NM_001017487
Dhx37	NM_001105926
Ubc	NM_017314
Scarb1	NM_031541
Ncor2	NM_001108334
Fam101a	NM_001109547
Ccdc92	NM_001083898
Atp6v0a2	NM_053775
Tctn2	NM_001080782
Gtf2h3	NM_001024236
Eif2b1	NM_172029
Ddx55	NM_001271326
Tmed2	NM_031722
Rilpl1	NM_001191665
Snrnp35	NM_001014127
Rilpl2	NM_001004205
Setd8	NM_001246665
Sbno1	NM_001107138
Cdk2ap1	NM_001113751
RGD1563482	NM_001109065
Mphosph9	NM_001170554
Pitpnm2	NM_001107139
Arl6ip4	NM_001025630
Ogfod2	NM_001105927
Abcb9	NM_022238
Vps37b	NM_001105928
Hip1r	NM_001134763
Hip1r	NM_031234
Ccdc62	NM_001134766
Denr	NM_001115046
Gpr81	NM_001145334
Niacr1	NM_181476
Kntc1	NM_001107140
Rsrc2	NM_001014128
Zcchc8	NM_001105929
Clip1	NM_031745
Vps33a	NM_022961
Diablo	NM_001008292
B3gnt4	NM_001105938
Lrrc43	NM_001170396
Psmd9	NM_130430
Hpd	NM_017233
Tmem120b	NM_001271309
Orai1	NM_001013982
Kdm2b	NM_001100679
Rnf34	NM_001004075
Anapc5	NM_001080147
Camkk2	NM_031338
P2rx4	NM_031594
P2rx7	NM_019256
Ift81	NM_199120
	NR_027839
Atp2a2	NM_001110823
Atp2a2	NM_001110139
Anapc7	NM_001107142
Arpc3	NM_001105933
Gpn3	NM_201991
Fam216a	NM_001008290
Vps29	NM_001105932
Rad9b	NM_001030042
Pptc7	NM_001107141
Tctn1	NM_001177613
Ppp1cc	NM_001270983
Ppp1cc	NM_022498
Ccdc63	NM_001025665
Myl2	NM_001035252
Cux2	NM_001271380
Sh2b3	NM_031621
Brap	NM_001271194
Acad10	NM_001134537
Aldh2	NM_032416
Mapkapk5	NM_001164043
Mapkapk5	NM_001025761
Adam1a	NM_020078
Tmem116	NM_001159625
Erp29	NM_053961
Naa25	NM_001047900
Trafd1	NM_053760
Rpl6	NM_053971
Ptpn11	NM_013088
Ptpn11	NM_001177593
Rph3a	NM_133518
Oas1i	NM_001009680
Oas1d	NM_001009379
Oas1a	NM_138913
Oas1h	NM_001009491
Oas1f	NM_001009490
Oas1b	NM_144752
Oas1e	NM_001009492
Oas1k	NM_001009489
Oas3	NM_001009493
Oas2	NM_001009715
Rasal1	NM_001108335
Ddx54	NM_001191548
Rita1	NM_001044226
Tpcn1	NM_139332
Slc8b1	NM_001017488
Plbd2	NM_139255
Sds	NM_053962
Sdsl	NM_001108336
Lhx5	NM_139036
Tbx5	NM_001009964
Oas1i	NM_001009680_1
Oas1d	NM_001009379_1
Tbx3	NM_181638
RGD1562310	NM_001109066
Rnft2	NM_001107144
Hrk	NM_057130
Fbxw8	NM_001107145
Nos1	NM_052799
Fbxo21	NM_001108338
Rfc5	NM_001107146
Wsb2	NM_001007616
Vsig10	NM_001271336
Pebp1	NM_017236
Taok3	NM_001024254
Hspb8	NM_053612
Ccdc60	NM_001034945
Prkab1	NM_031976
Cit	NM_001029911
Ccdc64	NM_001191667
Rab35	NM_001013046
Gcn1l1	NM_001168664
Rplp0	NM_022402
Pxn	NM_001012147
Sirt4	NM_001107147
Pla2g1b	NM_031585
Msi1	NM_148890
Triap1	NM_001126099
Cox6a1	NM_012814
Triap1	NM_001126099_1
Gatc	NM_001108339
Srsf9	NM_001009255
Dynll1	NM_053319
Coq5	NM_001039022
Rnf10	NM_001011904
Pop5	NM_001105752
Cabp1	NM_001033676
Cabp1	NM_001033675
Cabp1	NM_133529
Mlec	NM_001013983
Unc119b	NM_001105934
Acads	NM_022512
Hnf1a	NM_012669
RGD1311899	NM_001009630
Oasl	NM_001009681
Oasl2	NM_001009682
Ankrd13a	NM_001012148
Git2	NM_001005553
Tchp	NM_001191666
Gltp	NM_001134413
Trpv4	NM_023970
Fam222a	NM_001109067
Mvk	NM_031063
Ube3b	NM_001143894
Kctd10	NM_001009973
Foxn4	NM_001105935
Acacb	NM_053922
Ung	NM_001013124
Alkbh2	NM_001126273
Usp30	NM_001107153
Svop	NM_134404
Dao	NM_053626
Coro1c	NM_001109327
Selplg	NM_001013230
Tmem119	NM_001107155
Iscu	NM_001105936
Sart3	NM_001107156
Ficd	NM_001010946
Cmklr1	NM_022218
Wscd2	NM_001271178
Sgsm1	NM_001105937
Crybb3	NM_031690
Crybb2	NM_012937
Adrbk2	NM_012897
Sez6l	NM_001134538
Asphd2	NM_001009716
Hps4	NM_001107148
Srrd	NM_001305154
Tfip11	NM_001008291
Tpst2	NM_001008508
